,subjID,gender,age,correct,RT,MT,sideCorrect,sideResp,condition,block,ratioSm,ratioLg,ratioDist,L_num,L_den,R_num,R_den,ratioNum,order,trial,experiment
152,RA1,1,,1.0,1051.0,339.0,2.0,2.0,Congruent,50,0.2,0.5,300.0,3.0,15.0,13.0,26.0,0.23,9050,152,disc
153,RA1,1,,1.0,763.0,279.0,2.0,2.0,Incongruent,50,0.6,0.8,200.0,18.0,30.0,8.0,10.0,0.44,9050,153,disc
154,RA1,1,,1.0,740.0,299.0,2.0,2.0,Congruent,50,0.3,0.5,200.0,3.0,10.0,11.0,22.0,0.27,9050,154,disc
155,RA1,1,,1.0,1009.0,241.0,2.0,2.0,Congruent,50,0.2,0.4,200.0,5.0,25.0,6.0,15.0,0.83,9050,155,disc
156,RA1,1,,1.0,653.0,601.0,1.0,1.0,Incongruent,50,0.45,0.75,300.0,3.0,4.0,9.0,20.0,0.33,9050,156,disc
157,RA1,1,,1.0,843.0,362.0,1.0,1.0,Incongruent,50,0.37,0.67,300.0,6.0,9.0,11.0,30.0,0.55,9050,157,disc
158,RA1,1,,1.0,1046.0,240.0,2.0,2.0,Congruent,50,0.2,0.5,300.0,3.0,15.0,8.0,16.0,0.38,9050,158,disc
159,RA1,1,,1.0,903.0,281.0,2.0,2.0,Congruent,50,0.25,0.35,100.0,2.0,8.0,7.0,20.0,0.29,9050,159,disc
160,RA1,1,,0.0,892.0,499.0,1.0,2.0,Congruent,50,0.4,0.5,100.0,11.0,22.0,6.0,15.0,0.55,9050,160,disc
161,RA1,1,,1.0,808.0,281.0,2.0,2.0,Incongruent,50,0.5,0.8,300.0,8.0,16.0,4.0,5.0,0.5,9050,161,disc
162,RA1,1,,1.0,1020.0,261.0,1.0,1.0,Incongruent,50,0.4,0.5,100.0,6.0,12.0,8.0,20.0,0.75,9050,162,disc
163,RA1,1,,0.0,706.0,281.0,1.0,2.0,Incongruent,50,0.5,0.7,200.0,7.0,10.0,13.0,26.0,0.54,9050,163,disc
164,RA1,1,,1.0,773.0,258.0,1.0,1.0,Congruent,50,0.5,0.6,100.0,6.0,10.0,5.0,10.0,0.83,9050,164,disc
165,RA1,1,,1.0,670.0,279.0,2.0,2.0,Congruent,50,0.2,0.5,300.0,4.0,20.0,9.0,18.0,0.44,9050,165,disc
166,RA1,1,,1.0,688.0,241.0,2.0,2.0,Incongruent,50,0.6,0.7,100.0,18.0,30.0,7.0,10.0,0.39,9050,166,disc
167,RA1,1,,1.0,592.0,261.0,2.0,2.0,Congruent,50,0.17,0.27,100.0,2.0,12.0,8.0,30.0,0.25,9050,167,disc
168,RA1,1,,1.0,608.0,302.0,2.0,2.0,Incongruent,50,0.47,0.67,200.0,14.0,30.0,4.0,6.0,0.29,9050,168,disc
169,RA1,1,,1.0,609.0,380.0,1.0,1.0,Congruent,50,0.4,0.5,100.0,16.0,32.0,4.0,10.0,0.25,9050,169,disc
170,RA1,1,,0.0,780.0,201.0,1.0,2.0,Incongruent,50,0.55,0.75,200.0,9.0,12.0,11.0,20.0,0.82,9050,170,disc
171,RA1,1,,1.0,561.0,563.0,1.0,1.0,Incongruent,50,0.5,0.8,300.0,8.0,10.0,12.0,24.0,0.67,9050,171,disc
172,RA1,1,,1.0,843.0,281.0,1.0,1.0,Congruent,50,0.33,0.63,300.0,19.0,30.0,9.0,27.0,0.47,9050,172,disc
173,RA1,1,,1.0,750.0,419.0,2.0,2.0,Incongruent,50,0.6,0.9,300.0,12.0,20.0,9.0,10.0,0.75,9050,173,disc
